id	periodo	estu_tipodocumento	cole_area_ubicacion	cole_bilingue	cole_calendario	cole_caracter	cole_jornada	cole_mcpio_ubicacion	cole_naturaleza	estu_genero	fami_educacionmadre	fami_educacionpadre	fami_estratovivienda	fami_personashogar	fami_tieneautomovil	fami_tienecomputador	fami_tieneinternet	fami_tienelavadora	punt_ingles	punt_matematicas	punt_sociales_ciudadanas	punt_c_naturales	punt_lectura_critica	punt_global
1	2022	1	2	1	1	1	2	2	1	1	1	1	1	3	0	1	1	1	3	3	2	2	2	3
2	2022	1	1	2	1	1	1	4	1	2	3	2	1	2	0	0	1	1	2	1	1	1	1	1
3	2022	4	2	2	1	1	6	6	1	1	2	2	1	2	0	0	0	1	4	1	3	2	2	2
4	2022	1	2	2	1	1	3	3	1	2	6	2	1	2	0	0	1	1	2	3	4	3	3	3
5	2022	1	2	2	1	3	4	3	2	2	1	1	3	2	1	1	1	1	4	2	4	3	4	4
6	2022	2	2	2	1	1	6	6	1	1	3	3	1	3	0	0	0	1	3	4	4	3	2	4
7	2022	1	2	2	1	1	1	3	1	1	5	3	3	3	0	1	1	1	4	3	1	1	3	2
8	2022	1	2	2	1	1	4	9	1	1	1	2	1	3	0	1	1	1	4	4	4	4	4	4
9	2022	1	1	2	1	1	6	1	1	1	5	3	2	3	0	0	0	1	1	2	2	2	1	2
10	2022	1	2	2	1	3	1	3	1	2	5	2	2	4	0	0	1	1	3	1	3	2	3	3
11	2022	1	2	2	1	1	2	9	1	1	2	6	2	2	1	1	1	1	2	1	2	2	2	2
12	2022	1	1	2	1	1	2	10	1	1	5	2	3	3	1	0	0	1	2	1	1	1	1	1
13	2022	1	2	2	1	2	6	3	1	1	6	2	5	2	0	1	1	0	1	2	4	2	4	3
14	2022	1	2	2	1	3	6	3	1	1	5	2	1	3	0	1	0	0	3	4	3	4	4	4
15	2022	1	1	2	1	1	1	10	1	2	2	3	6	2	0	1	1	1	4	2	2	2	2	2
16	2022	1	2	2	1	1	2	7	1	2	1	8	1	2	0	0	0	1	4	4	4	4	4	4
17	2022	2	1	2	1	2	2	8	1	1	2	2	7	3	0	0	0	1	2	3	2	2	1	2
18	2022	1	2	2	1	1	6	11	1	1	2	2	3	2	0	0	1	1	1	2	1	2	1	1
19	2022	1	2	1	1	1	2	2	1	2	7	3	4	4	0	0	0	1	2	4	3	4	2	3
20	2022	1	2	2	1	1	2	12	1	2	2	6	3	1	0	0	1	1	3	4	3	3	3	3
21	2022	1	2	2	1	1	6	11	1	2	3	3	4	5	1	0	0	1	2	1	1	1	1	1
22	2022	1	2	2	1	1	2	13	1	1	1	5	1	4	0	0	0	1	1	3	3	3	1	2
23	2022	1	2	2	1	1	4	9	1	2	2	5	2	2	0	0	1	1	4	4	4	4	4	4
