"periodo","estu_tipodocumento","cole_area_ubicacion","cole_caracter","cole_mcpio_ubicacion","cole_naturaleza","fami_personashogar","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","punt_lectura_critica"
"2022","1","2","1","2","1","3","0","1","1","2"
"2022","1","1","1","4","1","2","0","0","1","1"
"2022","4","2","1","6","1","2","0","0","0","2"
"2022","1","2","1","3","1","2","0","0","1","3"
"2022","1","2","3","3","2","2","1","1","1","4"
"2022","2","2","1","6","1","3","0","0","0","2"
"2022","1","2","1","3","1","3","0","1","1","3"
"2022","1","2","1","9","1","3","0","1","1","4"
"2022","1","1","1","1","1","3","0","0","0","1"
"2022","1","2","3","3","1","4","0","0","1","3"
"2022","1","2","1","9","1","2","1","1","1","2"
"2022","1","1","1","10","1","3","1","0","0","1"
"2022","1","2","2","3","1","2","0","1","1","4"
"2022","1","2","3","3","1","3","0","1","0","4"
"2022","1","1","1","10","1","2","0","1","1","2"
"2022","1","2","1","7","1","2","0","0","0","4"
"2022","2","1","2","8","1","3","0","0","0","1"
"2022","1","2","1","11","1","2","0","0","1","1"
"2022","1","2","1","2","1","4","0","0","0","2"
"2022","1","2","1","12","1","1","0","0","1","3"
"2022","1","2","1","11","1","5","1","0","0","1"
"2022","1","2","1","13","1","4","0","0","0","1"
"2022","1","2","1","9","1","2","0","0","1","4"
"2022","2","2","1","13","1","1","0","0","0","1"
"2022","1","1","1","14","1","2","0","0","0","1"
"2022","2","2","3","3","1","3","0","1","1","3"
"2022","2","2","1","8","1","3","0","0","0","1"
"2022","1","2","2","15","1","5","0","0","0","3"
"2022","1","2","1","12","1","3","1","1","1","1"
"2022","1","2","2","16","1","4","0","0","0","1"
"2022","2","2","2","12","1","3","0","0","1","2"
"2022","1","2","1","3","1","2","0","1","1","3"
"2022","1","2","1","11","1","3","0","0","1","4"
"2022","2","2","1","18","1","2","0","0","0","1"
"2022","2","2","3","19","2","4","0","0","0","2"
"2022","1","1","1","20","1","2","0","0","0","2"
"2022","1","2","3","19","1","2","0","0","0","1"
"2022","1","1","1","20","1","3","0","0","0","1"
"2022","1","2","1","3","1","1","0","1","1","4"
"2022","1","2","1","3","1","3","0","1","1","4"
"2022","1","2","1","3","1","2","1","1","1","4"
"2022","1","2","1","12","1","3","0","1","0","2"
"2022","1","1","1","10","1","2","0","0","0","2"
"2022","1","2","2","22","1","1","0","0","1","3"
"2022","1","1","1","10","1","2","1","0","0","1"
"2022","1","2","3","3","1","2","0","0","0","3"
"2022","1","1","1","10","1","2","0","1","1","3"
"2022","1","2","1","23","1","3","0","0","1","2"
"2022","1","2","3","3","2","2","1","1","1","4"
"2022","1","2","3","3","2","2","1","1","1","1"
"2022","1","2","1","23","1","3","0","0","0","1"
"2022","1","2","1","8","1","1","0","0","0","2"
"2022","1","2","3","3","1","5","0","0","1","2"
"2022","1","2","2","3","1","2","0","0","0","3"
"2022","1","2","1","3","1","3","0","1","1","4"
"2022","1","2","1","3","1","2","0","1","1","4"
"2022","2","2","1","24","1","4","0","0","0","1"
"2022","2","2","3","3","1","2","1","1","1","1"
"2022","1","2","3","3","2","2","1","1","1","3"
"2022","1","2","1","9","1","3","0","1","1","1"
"2022","1","2","1","9","1","3","0","0","1","3"
"2022","1","2","3","3","2","2","1","1","1","4"
"2022","2","2","1","3","1","3","0","0","1","1"
"2022","1","2","1","12","1","2","1","0","0","1"
"2022","1","2","1","3","1","3","0","0","1","4"
"2022","1","2","2","25","1","2","0","0","1","1"
"2022","1","1","1","16","1","1","1","1","1","4"
"2022","1","2","1","9","1","3","0","1","1","4"
"2022","1","2","3","3","2","2","1","1","1","4"
"2022","1","2","3","3","1","2","0","1","1","3"
"2022","1","2","1","5","1","4","0","0","0","2"
"2022","1","2","1","13","1","3","0","0","1","3"
"2022","1","2","3","3","2","2","0","1","1","3"
"2022","1","2","3","3","2","3","0","0","1","3"
"2022","1","2","1","24","1","2","0","1","1","1"
"2022","1","1","1","13","1","3","0","0","0","1"
"2022","1","2","1","12","1","2","0","0","1","3"
"2022","1","1","1","1","1","3","0","0","0","1"
