"periodo","estu_tipodocumento","cole_area_ubicacion","cole_mcpio_ubicacion","cole_naturaleza","fami_tieneautomovil","fami_tienecomputador","fami_tieneinternet","punt_matematicas"
"2022","1","2","2","1","0","1","1","3"
"2022","1","1","4","1","0","0","1","1"
"2022","4","2","6","1","0","0","0","1"
"2022","1","2","3","1","0","0","1","3"
"2022","1","2","3","2","1","1","1","2"
"2022","2","2","6","1","0","0","0","4"
"2022","1","2","3","1","0","1","1","3"
"2022","1","2","9","1","0","1","1","4"
"2022","1","1","1","1","0","0","0","2"
"2022","1","2","3","1","0","0","1","1"
"2022","1","2","9","1","1","1","1","1"
"2022","1","1","10","1","1","0","0","1"
"2022","1","2","3","1","0","1","1","2"
"2022","1","2","3","1","0","1","0","4"
"2022","1","1","10","1","0","1","1","2"
"2022","1","2","7","1","0","0","0","4"
"2022","2","1","8","1","0","0","0","3"
"2022","1","2","11","1","0","0","1","2"
"2022","1","2","2","1","0","0","0","4"
"2022","1","2","12","1","0","0","1","4"
"2022","1","2","11","1","1","0","0","1"
"2022","1","2","13","1","0","0","0","3"
"2022","1","2","9","1","0","0","1","4"
"2022","2","2","13","1","0","0","0","1"
"2022","1","1","14","1","0","0","0","2"
"2022","2","2","3","1","0","1","1","2"
"2022","2","2","8","1","0","0","0","1"
"2022","1","2","15","1","0","0","0","4"
"2022","1","2","12","1","1","1","1","2"
"2022","1","2","16","1","0","0","0","2"
"2022","2","2","12","1","0","0","1","1"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","11","1","0","0","1","4"
"2022","2","2","18","1","0","0","0","1"
"2022","2","2","19","2","0","0","0","2"
"2022","1","1","20","1","0","0","0","1"
"2022","1","2","19","1","0","0","0","2"
"2022","1","1","20","1","0","0","0","1"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","3","1","1","1","1","4"
"2022","1","2","12","1","0","1","0","2"
"2022","1","1","10","1","0","0","0","2"
"2022","1","2","22","1","0","0","1","1"
"2022","1","1","10","1","1","0","0","2"
"2022","1","2","3","1","0","0","0","3"
"2022","1","1","10","1","0","1","1","2"
"2022","1","2","23","1","0","0","1","2"
"2022","1","2","3","2","1","1","1","4"
"2022","1","2","3","2","1","1","1","1"
"2022","1","2","23","1","0","0","0","2"
"2022","1","2","8","1","0","0","0","1"
"2022","1","2","3","1","0","0","1","2"
"2022","1","2","3","1","0","0","0","2"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","3","1","0","1","1","4"
"2022","2","2","24","1","0","0","0","1"
"2022","2","2","3","1","1","1","1","1"
"2022","1","2","3","2","1","1","1","3"
"2022","1","2","9","1","0","1","1","2"
"2022","1","2","9","1","0","0","1","3"
"2022","1","2","3","2","1","1","1","4"
"2022","2","2","3","1","0","0","1","1"
"2022","1","2","12","1","1","0","0","2"
"2022","1","2","3","1","0","0","1","4"
"2022","1","2","25","1","0","0","1","3"
"2022","1","1","16","1","1","1","1","4"
"2022","1","2","9","1","0","1","1","4"
"2022","1","2","3","2","1","1","1","3"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","5","1","0","0","0","2"
"2022","1","2","13","1","0","0","1","4"
"2022","1","2","3","2","0","1","1","3"
"2022","1","2","3","2","0","0","1","2"
"2022","1","2","24","1","0","1","1","1"
"2022","1","1","13","1","0","0","0","1"
"2022","1","2","12","1","0","0","1","2"
"2022","1","1","1","1","0","0","0","1"
"2022","1","2","9","1","0","1","1","2"
"2022","1","2","3","2","1","1","1","4"
"2022","1","1","10","1","0","0","0","2"
"2022","1","1","3","1","0","1","1","3"
"2022","1","2","7","1","0","0","0","1"
"2022","1","2","11","1","0","0","1","3"
"2022","1","2","3","2","0","0","1","3"
"2022","1","2","18","1","0","0","0","1"
"2022","1","2","13","2","0","1","1","4"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","3","2","1","1","1","4"
"2022","1","2","3","1","0","1","1","2"
"2022","2","2","9","1","0","0","1","1"
"2022","1","2","3","2","0","1","1","1"
"2022","1","1","3","1","0","0","0","3"
"2022","1","2","3","1","1","0","1","2"
"2022","1","1","3","1","0","0","1","4"
"2022","2","2","12","1","0","0","0","3"
"2022","1","2","13","1","0","0","1","2"
"2022","1","2","3","1","0","0","1","1"
"2022","1","1","20","1","0","0","0","1"
"2022","1","2","3","1","0","0","0","3"
"2022","1","1","27","1","0","0","0","4"
"2022","2","1","15","1","1","1","1","1"
"2022","1","2","3","1","0","1","1","2"
"2022","1","2","3","1","0","1","1","2"
"2022","1","2","3","1","0","0","1","3"
"2022","2","2","13","2","1","0","0","1"
"2022","5","2","19","2","0","0","1","4"
"2022","1","2","3","1","0","0","1","2"
"2022","1","2","4","1","0","0","1","1"
"2022","1","2","3","1","1","1","1","4"
"2022","1","1","10","1","0","0","0","2"
"2022","6","1","3","1","0","0","0","4"
"2022","1","2","12","1","0","0","1","1"
"2022","2","1","27","1","0","0","1","1"
"2022","1","1","12","1","0","0","1","4"
"2022","1","1","17","1","0","1","0","2"
"2022","2","2","3","1","0","1","1","4"
"2022","2","2","19","1","0","0","1","3"
"2022","1","2","3","1","0","0","0","1"
"2022","1","2","13","1","0","0","0","2"
"2022","1","2","16","1","0","0","0","2"
"2022","1","2","3","1","1","1","1","2"
"2022","1","2","8","1","0","0","0","1"
"2022","1","2","22","1","0","0","1","3"
"2022","1","1","8","1","0","0","0","2"
"2022","1","2","28","1","0","0","1","1"
"2022","1","2","4","1","0","1","1","1"
"2022","2","2","9","1","0","0","1","3"
"2022","1","2","3","2","1","0","1","2"
"2022","1","2","19","1","0","1","1","4"
"2022","2","2","3","1","0","0","1","2"
"2022","1","1","3","1","0","0","0","1"
"2022","2","2","27","1","0","0","1","2"
"2022","1","2","24","1","0","0","0","1"
"2022","1","2","8","1","0","0","0","3"
"2022","1","2","3","2","1","1","1","3"
"2022","1","2","3","1","0","0","0","2"
"2022","1","2","16","1","0","1","1","1"
"2022","1","2","22","1","0","1","1","1"
"2022","2","2","8","1","0","0","0","2"
"2022","2","2","17","1","0","0","0","2"
"2022","1","1","7","1","0","0","0","2"
"2022","1","2","9","1","0","0","1","4"
"2022","1","2","13","1","1","0","0","4"
"2022","1","2","3","1","0","0","1","4"
"2022","1","2","16","1","0","0","1","4"
"2022","1","2","3","1","0","1","1","3"
"2022","1","2","3","1","0","1","1","3"
"2022","1","1","27","1","0","0","0","3"
"2022","1","2","9","1","0","0","1","4"
"2022","1","2","9","1","0","1","0","2"
"2022","1","2","3","1","0","0","1","1"
"2022","1","2","3","1","0","0","1","1"
"2022","1","1","29","1","0","0","0","2"
"2022","1","2","3","1","0","0","0","4"
"2022","1","2","3","2","0","1","1","3"
"2022","2","2","6","1","0","0","1","1"
"2022","1","2","3","1","0","1","1","1"
"2022","1","2","8","1","0","1","1","2"
"2022","2","1","12","1","0","0","0","2"
"2022","1","2","3","1","0","0","1","1"
"2022","1","2","15","1","0","0","0","2"
"2022","1","1","3","1","0","0","0","2"
"2022","1","1","15","1","0","0","0","2"
"2022","1","1","28","1","1","0","0","3"
"2022","2","2","12","1","0","0","1","1"
"2022","1","1","12","1","0","0","0","3"
"2022","2","2","11","1","0","1","0","1"
"2022","1","2","3","1","0","0","1","1"
"2022","1","2","3","1","0","1","1","3"
"2022","1","2","14","1","0","0","0","3"
"2022","1","2","8","1","0","0","0","1"
"2022","1","2","13","1","1","1","1","3"
"2022","1","1","6","1","0","0","0","4"
"2022","1","2","3","2","0","1","1","3"
"2022","1","2","3","1","0","0","1","3"
"2022","1","1","3","1","0","0","0","4"
"2022","1","1","3","1","0","0","0","4"
"2022","1","2","19","1","0","0","0","2"
"2022","1","2","3","2","0","1","1","4"
"2022","1","2","22","1","1","1","1","1"
"2022","1","2","3","1","0","0","1","3"
"2022","1","2","12","1","0","0","0","2"
"2022","1","2","3","1","0","0","0","4"
"2022","1","2","3","2","0","1","1","1"
"2022","1","2","19","1","1","1","1","1"
"2022","1","1","10","1","0","0","0","3"
"2022","1","2","3","1","0","1","1","4"
"2022","2","2","3","2","0","0","1","3"
"2022","1","2","3","2","1","1","1","3"
"2022","1","2","19","1","0","0","1","4"
"2022","1","2","3","1","0","0","1","2"
"2022","1","2","12","1","0","0","1","3"
"2022","1","2","22","1","0","1","1","1"
"2022","1","1","10","1","0","1","1","1"
"2022","1","2","3","1","0","1","1","2"
"2022","1","2","17","1","0","0","0","2"
"2022","1","1","15","1","0","0","0","4"
"2022","1","2","22","1","0","0","0","1"
"2022","1","2","19","2","0","1","1","4"
"2022","1","2","1","1","0","0","0","1"
"2022","4","1","14","1","0","0","1","1"
"2022","1","1","10","1","0","0","1","3"
"2022","1","2","3","1","1","1","1","3"
"2022","1","1","10","1","0","0","0","1"
"2022","1","2","3","1","1","0","1","1"
"2022","1","2","3","1","0","0","1","3"
"2022","2","2","3","1","0","0","1","1"
"2022","1","2","19","1","0","0","0","1"
"2022","1","2","9","2","0","1","1","2"
"2022","1","2","8","1","0","0","1","3"
"2022","2","2","17","1","0","0","0","1"
"2022","2","2","19","1","0","0","0","2"
"2022","2","1","10","1","0","0","0","1"
"2022","1","2","3","1","0","0","1","4"
"2022","1","1","15","1","0","0","0","2"
"2022","1","1","6","1","0","0","0","2"
"2022","1","1","2","1","0","0","0","3"
"2022","1","1","14","1","0","1","1","1"
"2022","1","1","10","2","0","1","1","3"
"2022","1","1","10","1","0","1","1","2"
"2022","1","1","27","1","0","0","1","1"
"2022","1","1","7","1","0","0","0","2"
"2022","1","2","3","2","1","0","1","4"
"2022","1","1","8","1","1","1","1","4"
"2022","1","1","10","1","0","1","0","2"
"2022","1","2","3","1","0","1","1","2"
"2022","1","2","3","1","0","1","1","3"
"2022","1","2","3","1","0","1","1","2"
"2022","1","2","12","1","1","1","1","1"
"2022","1","2","3","2","1","1","1","4"
"2022","1","2","3","1","1","1","1","4"
"2022","2","2","30","1","0","0","1","4"
"2022","1","2","3","2","1","1","1","4"
"2022","1","2","11","1","0","0","0","2"
"2022","1","2","9","1","0","0","1","2"
"2022","1","2","19","1","0","1","1","2"
"2022","1","1","10","1","0","1","1","3"
"2022","2","2","3","1","1","0","0","1"
"2022","1","1","14","1","0","0","0","1"
"2022","1","2","3","1","0","0","0","2"
"2022","1","2","3","1","1","1","1","3"
"2022","1","2","15","1","0","0","0","2"
"2022","2","1","8","1","0","0","1","2"
"2022","2","2","30","1","0","0","0","1"
"2022","1","2","3","1","0","1","1","4"
"2022","1","2","24","1","0","0","1","2"
"2022","1","2","19","2","0","1","1","4"
"2022","1","2","5","1","0","0","1","4"
"2022","1","2","3","1","1","0","1","3"
"2022","1","2","9","1","0","1","1","3"
"2022","1","2","3","1","0","1","1","4"
"2022","1","1","15","1","0","0","0","2"
"2022","1","2","3","2","1","1","0","1"
"2022","1","2","3","1","0","0","1","4"
"2022","2","1","8","1","0","0","0","3"
"2022","2","1","15","1","0","0","1","2"
"2022","1","2","3","1","0","1","1","2"
"2022","1","1","3","1","0","0","1","2"
"2022","1","1","10","1","0","0","0","2"
"2022","1","1","13","1","0","1","0","2"
"2022","1","1","17","1","0","0","0","4"
"2022","2","2","19","1","0","0","0","3"
"2022","1","2","3","1","1","1","0","1"
"2022","1","2","13","1","0","1","1","4"
"2022","2","1","6","1","0","0","1","4"
"2022","1","2","23","1","0","1","0","4"
"2022","1","1","30","1","0","1","0","1"
"2022","1","1","10","1","1","1","1","2"
"2022","1","2","7","1","0","1","1","2"
"2022","2","2","9","1","0","0","0","3"
"2022","1","2","18","1","0","0","0","3"
"2022","1","2","15","1","0","0","1","2"
"2022","1","2","3","1","0","0","1","3"
"2022","1","2","3","2","1","1","1","4"
"2022","1","2","13","2","1","1","1","4"
"2022","1","2","3","1","0","0","1","2"
"2022","1","2","3","2","1","1","1","2"
"2022","1","1","3","1","0","1","1","3"
"2022","1","2","11","1","1","0","1","2"
"2022","1","2","3","1","1","1","1","1"
"2022","1","2","3","2","0","1","1","4"
"2022","1","1","17","1","0","1","1","2"
"2022","2","2","3","1","0","0","1","3"
"2022","1","1","23","1","0","0","1","1"
"2022","1","2","3","1","1","1","1","4"
"2022","1","2","23","1","0","0","0","1"
"2022","1","1","26","1","0","0","1","2"
"2022","1","2","17","1","0","0","0","2"
"2022","1","2","9","1","1","0","0","1"
"2022","1","2","3","1","0","0","1","4"
"2022","1","1","10","1","0","0","0","2"
"2022","1","2","3","1","0","0","1","2"
"2022","1","1","8","1","0","0","1","1"
"2022","1","2","3","2","0","1","1","4"
"2022","1","2","9","1","0","0","0","2"
"2022","1","2","13","1","0","0","1","1"
"2022","1","2","3","1","0","0","0","1"
"2022","1","1","23","1","1","1","1","2"
"2022","1","2","29","1","1","1","1","1"
"2022","1","1","3","1","0","0","1","4"
"2022","1","2","5","1","0","0","0","2"
"2022","1","2","3","1","0","0","0","1"
"2022","1","1","8","1","0","1","0","1"
"2022","1","2","9","1","0","0","0","3"
"2022","1","2","3","1","0","0","0","2"
"2022","1","1","10","1","1","1","1","1"
"2022","1","1","28","1","0","0","0","1"
"2022","1","2","3","1","0","0","1","2"
"2022","1","2","3","1","0","0","0","1"
"2022","1","2","19","1","0","1","1","3"
"2022","1","2","9","2","1","1","1","4"
"2022","1","1","27","1","0","0","0","2"
"2022","1","2","3","1","0","1","1","4"
"2022","1","1","23","1","0","0","1","3"
"2022","1","2","9","1","0","0","1","3"
"2022","2","1","7","1","0","0","0","2"
"2022","1","1","28","1","0","0","1","2"
"2022","1","2","9","1","0","0","1","2"
"2022","1","2","15","1","0","0","0","2"
"2022","1","1","7","1","0","0","1","2"
"2022","1","2","3","1","0","1","1","3"
"2022","1","1","26","1","0","0","0","1"
"2022","1","2","3","1","0","0","0","3"
"2022","1","2","22","1","0","0","1","1"
"2022","1","2","7","1","0","0","0","2"
"2022","1","2","8","1","0","0","1","4"
"2022","1","2","3","1","0","1","1","4"
"2022","2","2","3","1","0","0","1","1"
"2022","1","2","15","1","0","0","1","3"
"2022","1","2","3","2","0","1","1","3"
"2022","1","2","17","1","0","0","0","1"
"2022","1","2","3","1","0","1","1","2"
"2022","2","1","7","1","1","0","0","1"
"2022","1","1","6","1","0","0","0","3"
"2022","1","2","9","1","0","0","1","2"
"2022","2","2","3","1","0","0","0","2"
"2022","1","1","14","1","0","0","0","1"
"2022","3","1","22","1","0","0","1","2"
"2022","1","2","3","1","1","1","1","2"
"2022","1","1","12","1","0","0","0","2"
